,180,gabby-the-evangelist,gabby the evangelist,Evangelist Gabby is blending gospel with comedy.,Male,hair: pink hair; eyes: black iris; teeth: none; clothing: agbada; expression: happily surprised; accessories: none; strength: make people happy; weakness:misleading,ac721b71-cbc5-425c-851f-ee826973f0b9
TEAM CRANKSHAFT,181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood.,Female,hair: pitch; eyes: blue;  teeth: none;  clothing: top; accessories: bow-tie;  expression: strengths: powerful; weakness: sentimental,2ae282e6-9400-43cb-bbdd-f4e61fec96b3
,182,lola-babe,lola babe,You will always see her in tight fittted dresses; she loves the exquisite life.,Female,hair: brown; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: happy; strengths: calculative; weakness: misleading,7c80747e-9ba7-4fb7-ab69-ff09c7f75d58
,183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends.,Female,hair: two brown bun; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: blank; strength: free spirit; weakness: misleading,14792397-de9d-4f18-b46c-f168605d09e8
,184,bella-the-baller,bella the baller,Bella earns big; she is always out partying and buying bottles.,Female,hair: brown; eyes: blue; teeth: none; clothing: patterned top; accessories: none; expression: determined; strength: adaptation; weakness: fluency,535199d1-0705-4652-8e00-6d33db7aa4a7
,185,milly-of-roses,milly of roses,She is very attractive but doesn't have a social life.,Female,hair: beige; eyes: blue; teeth: none; clothing: black top; accessories: none; expression: happy; strength: cool headed; weakness: pressure,3882bf86-4fe7-4b45-af74-8cd6b2fa3be7
,186,preciousjada-the-viper,preciousjada the viper,Her opinions are great but her words sting like viper.,Female,hair: ginger afro; eyes: blue; teeth: white teeth; clothing: aso-oke; expression: strong-willed; strength: confidence; weakness: endurance,0d736b37-d6c9-492b-92a1-a682da4dd149
,187,lolly-of-ny,lolly of ny,Most popular visual artist; alway gets praised for her creativity.,Female,hair: purple braids; eyes: black; teeth: none; clothing: black and blue top; accessories: none; expression: calculative; strength: strong willed; weakness: relationship,c41d20a9-19d6-498e-9246-e5bbb299d713
,188,disy-the-dancer,disy the dancer,A dancer that brings the spotlight on her.,Female,hair: black; eyes: black; teeth: none; clothing: one arm top; accessories: scarf; expression: bad girl vibes; strength: cleaniness; weakness: perfectionist,850f407d-d106-4b0e-89cd-e35d9261aedd
,189,jenny-the-great,jenny the great,Loves burna boy; you will always catch him on his tracks.,Female,hair: black; eyes: none; teeth: none; clothing: none; accessories: scalf; expression: none; strength: badass; weakness: cancer,3caaefcd-329e-4e25-af9e-21bb07c52380
,190,lolly-the-pop,lolly the pop,Everywhere she goes she shines like a star.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: peaceful; weakness: anger,a3c79502-5fbe-45af-a498-4670fdfff629
,191,disy-the-queen,disy the queen,An introvert that loves her own space.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: beauty; weakness: lover girl,c2807d94-0192-4dca-be02-1e5ac8a42d74
,192,jennyp-of-lagos,jennyp of lagos,She knows all the celebrities in lagos but she stays lowkey.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: super powerful; weakness: sleeping,94a06683-6ce5-4c5f-8820-968654168980
,193,jada-of-life,jada of life,She started a night club in lekki and now she is a millionaire.,Female,hair: male; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: calm; weakness: sun,c92fad1d-521e-44e0-9a56-d07ca5e77fe5
,194,sandy-the-rapper,sandy the rapper,She just loves to rap and Quavo is her super star.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: clean; weakness: foodie,778b0412-b5b9-4b0c-bbcd-5c0fbb360fd7
,195,dahila-the-genius,dahila the genius,The genius in the family; she always wins awards.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: activist; weakness: irrational,d46f7da0-73e6-4100-b9b2-6c08d5ad561a
,196,rosemary-of-yaba,rosemary of yaba,She is always travellling to cotonou to buy clothes for her store.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: mind games; weakness: insomia,583fa7c2-583f-4fc6-8176-473e5c2aa92b
,197,jennifer-of -island,jennifer of island,She loves travelling; she is in maldives this year.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong; weakness: lateness,37552438-fdda-483a-a1a4-bdfa6ddd3ec2
,198,opeyemi-of-lekki,opeyemi of lekki,She is a lekki socialite; braids her hairfor 85k.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: conversationist; weakness: traditionalist,65cdbeee-071a-4700-bccf-cb437f3d066d
,199,vicky-the-artist,vicky the artist,An artist; she brings drawings to life.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong willed; weakness: crying,7247e175-bca1-4cd8-a8bb-b97cad9781a7
